#Energy (MeV),#Arrival time (Mission elapsed time)
1161.41,243216800.5024
555.4484,243216773.1818
184.7778,243216785.3465
136.982,243216766.4912
464.1147,243216786.6419
102.0609,243216775.3517
897.9528,243216802.3091
257.3308,243216779.2005
106.4119,243216771.9559
219.1508,243216773.2913
301.2045,243216769.6451
161.4214,243216770.5625
154.8599,243216770.5771
292.0397,243216770.588
256.416,243216771.3155
125.6928,243216771.3345
147.189,243216771.3715
259.021,243216771.3811
151.3258,243216771.3843
188.6986,243216771.4485
106.8595,243216771.474
302.9086,243216771.4841
125.3302,243216771.6159
107.783,243216771.7426
255.5123,243216771.8519
178.7097,243216771.8871
134.9014,243216771.9235
236.1549,243216772.1038
113.3723,243216772.1479
129.0527,243216772.1744
135.6247,243216772.2199
192.8409,243216772.2646
111.8669,243216772.319
381.3141,243216772.3348
130.9818,243216772.4483
127.2475,243216772.4503
581.9417,243216772.4746
525.1748,243216772.4991
133.3213,243216772.5315
274.2339,243216772.5926
204.5031,243216772.6026
473.3117,243216772.6788
128.0186,243216772.679
425.1531,243216772.6917
1693.607,243216772.6921
149.9114,243216772.7434
102.4883,243216772.7435
572.9741,243216772.8084
185.3913,243216772.8668
664.7755,243216772.9848
296.4,243216773.0572
632.5254,243216773.0762
298.3512,243216773.0803
212.8162,243216773.2119
1313.093,243216773.237
189.7135,243216773.2437
440.7027,243216773.3525
2110.097,243216773.4766
515.459,243216773.6382
760.9292,243216773.6455
151.303,243216773.7953
104.0869,243216773.8852
1500.585,243216774.0648
608.2376,243216774.2312
170.1075,243216774.2368
114.2057,243216774.3657
455.964,243216774.7042
134.3812,243216775.1011
306.9547,243216775.1951
141.7505,243216775.2133
611.0432,243216775.2833
109.3585,243216775.3241
382.3085,243216775.4279
155.1113,243216775.4887
640.0685,243216775.5485
109.0355,243216775.612
125.9022,243216775.9618
147.2503,243216776.2137
610.1731,243216776.329
268.678,243216776.3348
123.731,243216776.3507
1106.073,243216776.8349
666.3541,243216777.0465
124.0625,243216777.0628
107.6473,243216777.1763
118.834,243216777.3793
808.8513,243216777.7107
473.3237,243216778.9567
132.5796,243216779.0345
660.1982,243216779.3595
145.9255,243216779.403
954.9778,243216779.5622
276.6332,243216780.0931
163.2846,243216780.1367
152.9473,243216780.2963
699.2517,243216780.4812
103.2742,243216780.7382
238.1062,243216780.7902
737.0328,243216781.0301
369.6044,243216781.1507
104.9528,243216781.2672
238.221,243216782.5351
168.5372,243216782.6963
12421.47,243216783.1581
109.9446,243216783.231
1230.389,243216783.4181
120.0386,243216783.4345
158.5118,243216783.7066
105.6004,243216783.8045
106.6056,243216784.1838
262.4072,243216784.4116
129.8193,243216784.4638
244.139,243216784.4861
159.4928,243216785.9991
107.0959,243216786.1301
1382.093,243216786.3494
110.3832,243216786.6192
106.7763,243216787.33
353.3085,243216787.4589
113.8474,243216787.6329
119.8601,243216787.6975
695.9001,243216788.7065
104.719,243216788.7451
226.5827,243216788.7457
220.7097,243216788.816
2568.059,243216788.8288
817.0657,243216788.8705
137.2094,243216788.8946
193.1563,243216788.9736
958.809,243216788.9945
903.6765,243216789.1583
577.4429,243216789.1831
126.5582,243216789.2745
100.3007,243216789.4397
481.8879,243216789.6703
238.2753,243216789.842
445.4096,243216790.4336
158.3098,243216790.4823
1649.137,243216790.5462
104.7492,243216790.6758
225.1986,243216791.0517
197.2108,243216791.5065
434.9803,243216791.5086
436.5236,243216792.5727
2499.742,243216792.9334
1742.313,243216793.6661
722.7644,243216793.9274
542.3115,243216794.1666
6721.313,243216794.8231
764.5092,243216795.9104
193.7292,243216796.7145
862.8892,243216797.0702
188.7548,243216797.1762
192.2667,243216797.6038
114.1184,243216800.258
642.1968,243216801.3318
124.6314,243216802.2639
139.9396,243216802.3157
115.7988,243216802.4381
228.2946,243216803.2074
153.6679,243216803.2661
374.467,243216803.3684
204.6051,243216803.9959
193.5458,243216804.1368
140.2447,243216804.519
261.2858,243216805.0089
243.1706,243216771.4592
102.6396,243216771.7825
109.9065,243216772.2146
264.3311,243216772.2959
170.9336,243216772.4761
104.8974,243216772.5655
122.725,243216772.6721
164.6862,243216772.7918
102.9359,243216775.9564
332.3583,243216776.1994
120.0537,243216778.6304
374.2445,243216779.2367
107.5415,243216795.2941
130.2623,243216800.2235
202.0525,243216771.5883
473.1335,243216772.4301
183.1821,243216772.4495
247.8734,243216772.8727
172.0985,243216774.4715
144.7492,243216775.2345
159.355,243216775.7001
802.3364,243216775.7574
147.7829,243216775.7719
114.6043,243216776.0876
136.4278,243216776.9167
198.55,243216781.9588
568.0307,243216786.999
197.9429,243216787.5591
118.9247,243216788.5072
594.8967,243216789.4822
115.2615,243216776.6764
163.2254,243216801.2072
127.4832,243216772.1766
167.365,243216772.2815
150.9194,243216798.9232
187.5974,243216801.5487
143.4514,243216792.2204
115.3952,243216788.0164
314.4583,243216801.5729
150.2122,243216771.261
140.9583,243216772.253
358.8784,243216772.2693
112.5329,243216772.4993
103.9953,243216772.6048
176.2156,243216772.6437
177.4611,243216772.6596
101.4072,243216774.582
193.2159,243216777.3976
119.7505,243216781.1571
193.7903,243216781.5137
190.2433,243216786.0214
119.3534,243216786.1039
100.6697,243216786.5096
374.5763,243216788.5909
149.0422,243216788.6936
413.7735,243216788.9969
124.826,243216789.1674
876.789,243216791.2539
198.4518,243216793.6387
106.078,243216796.3197
271.4489,243216799.0925
241.0005,243216800.1276
110.0067,243216804.1665
230.0287,243216788.0296
112.8946,243216790.5162
156.6778,243216780.2069
143.3137,243216767.9658
573.1548,243216785.2735
295.4197,243216796.0337
